x_centroid,y_centroid,brightness
671.690809290059,557.623244050173,1550087
546.58419702723,627.563683339952,1218796
358.470941528746,264.613470256802,1213622
474.539457465244,924.615654373893,1159299
526.563047506372,502.511582994789,1149530
366.574419538535,1001.54412968203,1115621
133.518200756587,208.468152051985,1110778
362.556038225246,91.5184390383002,1094146
316.51380317408,721.495086447218,1092285
682.442203554759,526.539532446018,1091382
111.574589286142,846.540389397104,1085062
122.942800002237,194.009620313091,1073042
758.355675869688,554.318939920105,1072655
286.524162651069,641.5378992148,1071447
101.51212769702,426.531218405266,1068216
437.533746904308,942.47950729426,1067209
497.504596423311,578.495713955181,1063218
77.5361529777025,237.531425345752,1062900
430.495372859065,825.52736179535,1062211
478.481058197769,553.520513849368,1061673
342.502183636878,448.525493064075,1059700
411.487963352852,655.495884559972,1059182
492.508549042719,527.512457122565,1058832
283.507000734482,812.511719566041,1057889
368.503982797042,443.503374353588,1056795
439.509215896214,673.490465073789,1056327
868.813527670558,337.387173269554,1055725
681.481887078439,361.512960401667,1055600
876.499900509769,333.556898936876,1055380
482.513892233052,116.514175670628,1054906
612.526097989311,979.488119260661,1054564
417.53116941276,615.509068466065,1053982
465.503942398601,312.513597426846,1052405
545.49922552885,592.5050117311,1052331
428.541984098099,917.467608927643,1052327
577.505632734315,566.498151892741,1051887
433.502601836311,911.508620484706,1051565
605.506943143444,531.521491316078,1051541
305.533465905794,495.513270880638,1051249
272.52519372469,682.503182755838,1050976
345.516917491781,649.508895528921,1050865
521.511424655057,392.500181812124,1050535
296.515961159908,591.496791578298,1050049
390.496720849322,801.516012884214,1049967
246.509803230532,162.509494617367,1049858
602.50544818178,503.51251205097,1049708
323.48984938473,687.499411986703,1049296
103.530132487255,763.524918202153,1049233
644.501118290733,502.503922605121,1048028
324.496482996697,851.491118254345,1047767
313.50018721941,292.501894163721,1046900
541.493302593858,247.509923712298,1045778
170.5285405122,715.508556126198,1045216
689.504092941733,481.510528944312,1045214
647.481810127236,937.502194917054,1045142
314.499747125468,269.500407089682,1043996
223.516315558208,904.498549387039,1042318
307.499448338058,103.5158149486,1042305
324.515900341229,40.5048363138077,1042116
145.539897931951,123.495221080239,1041658
170.509211230705,554.498025890248,1040469
142.563324797067,320.486784013879,1039877
827.517797806965,327.519594649958,1037375
126.507251662402,874.492005418485,1036452
939.429260803127,971.507430534845,1029401
781.490465941202,227.51841713511,1023069
845.489161230004,665.514712483607,1022533
935.492845922254,464.521710679471,1022354
922.511790484962,340.523931250541,1016328
944.495660403536,686.509414516193,1009080
974.508415868162,250.49613257801,1005838
263.561513858105,1013.712275615,729104
609.470336955672,1014.54906418576,639550
